word,class,pass1,dupe,pass2,notes
Hun,TRUE,f,,0,
Jap,TRUE,1,,2,not as prevalent these days
Jihadi,TRUE,1,,1,
Yardie,TRUE,1,,1,
abhor,TRUE,f,,0,
abominable,TRUE,1,,1,
abomination,TRUE,1,,1,
abusive,TRUE,1,,1,
affront,TRUE,f,,0,
agitator,TRUE,1,,0,
aloof,TRUE,f,,0,
ambush,TRUE,f,,0,
anarchist,TRUE,f,,0,
annihilate,TRUE,f,,0,
appalled,TRUE,f,,0,
arrogance,TRUE,f,,0,
arrogant,TRUE,1,,0,
arse,TRUE,1,,1,
ashamed,TRUE,f,,0,
asinine,TRUE,f,,0,
ass,TRUE,1,,1,
assassinate,TRUE,f,,0,
assault,TRUE,f,,0,
asshole,TRUE,1,,2,
atrocity,TRUE,1,,1,
attack,TRUE,f,,0,
avarice,TRUE,f,,1,
avaricious,TRUE,NA,,1,
awful,TRUE,1,,1,
awfulness,TRUE,f,,0,
awkward,TRUE,f,,0,
backbiting,TRUE,1,,0,
backward,TRUE,f,,0,
bampot,TRUE,f,,1,
barbaric,TRUE,1,,1,
barbarous,TRUE,1,,0,
bastard,TRUE,1,,2,
beaner,TRUE,1,,2,
beast,TRUE,1,,0,
beastly,TRUE,1,,0,
belittle,TRUE,f,,0,
bestial,TRUE,f,,0,
betrayer,TRUE,1,,1,
bint,TRUE,NA,,1,
bitch,TRUE,1,,2,
bitter,TRUE,f,,0,
blab,TRUE,f,,0,
blabber,TRUE,f,,0,
blaspheme,TRUE,f,,0,
blasphemy,TRUE,f,,0,
blather,TRUE,f,,0,
blind,TRUE,f,,0,
bloodthirsty,TRUE,1,,1,
bogan,TRUE,NA,,1,
bogus,TRUE,1,,0,
bollocks,TRUE,1,,0,
bombardment,TRUE,f,,0,
boner,TRUE,f,,0,
botch,TRUE,f,,0,
braggart,TRUE,1,,0,
bravado,TRUE,f,,0,
brutality,TRUE,f,,0,
brute,TRUE,1,,1,
buckra,TRUE,NA,,1,
bugger,TRUE,f,,1,
bullshit,TRUE,1,,1,
bully,TRUE,1,,0,
bungler,TRUE,1,,1,
burdensome,TRUE,f,,1,
burrhead,TRUE,NA,,2,
butchery,TRUE,f,,0,
cancer,TRUE,1,,0,
cancerous,TRUE,1,,2,
cannibalize,TRUE,f,,0,
capricious,TRUE,NA,,0,
capriciousness,TRUE,NA,,0,
careless,TRUE,1,,0,
carelessness,TRUE,f,,0,
carnage,TRUE,f,,0,
celesbian,TRUE,NA,,0,
charva,TRUE,NA,,1,
charver,TRUE,NA,,1,
chav,TRUE,NA,,1,
cheat,TRUE,f,,0,
cheat,TRUE,f,dupe,0,
chonky,TRUE,1,,0,humorous
chug,TRUE,f,,0,
cliche,TRUE,f,,0,
clumsy,TRUE,1,,0,
cock,TRUE,1,,1,
cocky,TRUE,f,,0,
cold,TRUE,f,,0,
complacent,TRUE,f,,0,
conceited,TRUE,1,,1,
contempt,TRUE,f,,0,
coolie,TRUE,f,,1,
coon,TRUE,1,,2,
cooter,TRUE,NA,,0,dukes of hazzard character
corrosive,TRUE,1,,0,
cracker,TRUE,1,,1,
crap,TRUE,1,,1,
crass,TRUE,f,,0,
craziness,TRUE,f,,0,
cringe,TRUE,1,,1,
cripple,TRUE,1,,1,
cripple,TRUE,1,dupe,1,
crude,TRUE,f,,0,
cruel,TRUE,1,,1,
cuck,TRUE,1,,1,
cunt,TRUE,1,,2,
curse,TRUE,f,,0,
cursed,TRUE,f,,0,
dago,TRUE,NA,,1,
damn,TRUE,f,,0,
darkey,TRUE,NA,,1,
darkie,TRUE,NA,,1,
dawdle,TRUE,f,,0,
debauchery,TRUE,f,,0,
deceitful,TRUE,1,,1,
delinquent,TRUE,1,,1,
deluded,TRUE,1,,1,
demean,TRUE,f,,0,
demonize,TRUE,f,,0,
denigrate,TRUE,1,,1,
despotic,TRUE,NA,,1,
despotism,TRUE,NA,,1,
destroy,TRUE,f,,0,
destructive,TRUE,f,,0,
detest,TRUE,f,,0,
detestable,TRUE,1,,1,
devil,TRUE,1,,1,
dhimmi,TRUE,NA,,0,
diabolic,TRUE,f,,0,
diatribe,TRUE,f,,0,
dick,TRUE,1,,1,
dictatorial,TRUE,1,,1,
dinge,TRUE,1,,2,
dink,TRUE,1,,0,
disbeliever,TRUE,f,,0,
discouraging,TRUE,1,,0,
disdainful,TRUE,1,,0,
disgraceful,TRUE,1,,1,
disgust,TRUE,f,,0,
disgusted,TRUE,f,,0,
dishonest,TRUE,1,,0,
dishonesty,TRUE,f,,0,
dishonor,TRUE,f,,0,
disillusion,TRUE,f,,0,
disintegrate,TRUE,f,,0,
disloyalty,TRUE,f,,0,
dismal,TRUE,1,,1,
disrespect,TRUE,f,,0,
disrespectful,TRUE,1,,0,
distasteful,TRUE,1,,0,
div,TRUE,NA,,NA,
douchbag,TRUE,1,,0,
dragon,TRUE,f,,0,
drain,TRUE,f,,0,
dubious,TRUE,f,,0,
dud,TRUE,1,,1,
dullard,TRUE,1,,1,
dumb,TRUE,1,,1,
dumbass,TRUE,1,,1,
dummy,TRUE,1,,1,
dunce,TRUE,1,,1,
dupe,TRUE,f,,1,
dyke,TRUE,1,,2,
earsplitting,TRUE,f,,0,
effrontery,TRUE,NA,,0,
egomania,TRUE,f,,0,
egotism,TRUE,f,,0,
egotistical,TRUE,1,,1,
embarrassing,TRUE,1,,0,
embarrassment,TRUE,1,,1,
enslave,TRUE,f,,0,
envious,TRUE,f,,0,
envy,TRUE,f,,0,
envy,TRUE,f,dupe,0,
evil,TRUE,1,,1,
evildoer,TRUE,1,,0,
eviscerate,TRUE,f,,0,
exploitation,TRUE,f,,0,
exterminate,TRUE,f,,0,
eyetie,TRUE,NA,,1,
fabricate,TRUE,f,,0,
fag,TRUE,1,,2,
faggot,TRUE,1,,2,
fail,TRUE,1,,0,
fanny,TRUE,f,,0,
fart,TRUE,f,,0,
fart,TRUE,f,dupe,0,
fatalistic,TRUE,NA,,0,
feeble,TRUE,f,,0,
felon,TRUE,f,,0,
felonious,TRUE,1,,1,
fetid,TRUE,1,,1,
fibber,TRUE,1,,1,
fiend,TRUE,1,,1,
filthy,TRUE,1,,1,
finocchio,TRUE,NA,,0,
flaky,TRUE,1,,0,
flamer,TRUE,1,,1,
flid,TRUE,NA,,1,
foolishness,TRUE,1,,0,
foul,TRUE,1,,1,
foulness,TRUE,1,,1,
fraudulent,TRUE,1,,1,
freakish,TRUE,1,,1,
frigid,TRUE,f,,0,
frocio,TRUE,NA,,2,italian profanity
fuck,TRUE,1,,1,
fuck,TRUE,1,dupe,1,
gauche,TRUE,f,,0,
geezer,TRUE,1,,1,
genocide,TRUE,1,,1,
gibber,TRUE,NA,,0,
ginger,TRUE,f,,0,
ginzo,TRUE,NA,,1,
gippo,TRUE,NA,,1,
gobber,TRUE,NA,,0,
goof,TRUE,1,,0,
gook,TRUE,1,,2,
gossip,TRUE,f,,0,
gossip,TRUE,f,dupe,0,
graceless,TRUE,1,,1,
greaseball,TRUE,1,,1,
greed,TRUE,f,,0,
grimace,TRUE,f,,0,
gringo,TRUE,1,,0,
groid,TRUE,NA,,2,
grotesque,TRUE,1,,1,
grouch,TRUE,f,,0,
grouchy,TRUE,1,,0,
gruesome,TRUE,1,,0,
gubba,TRUE,NA,,0,
gurrier,TRUE,NA,,0,
gyp,TRUE,NA,,0,
gyppo,TRUE,NA,,1,
hairyback,TRUE,NA,,1,
halfhearted,TRUE,f,,0,
halfrican,TRUE,1,,1,
haphazard,TRUE,1,,0,
harridan,TRUE,NA,,0,
hate,TRUE,f,,0,
hateful,TRUE,1,,0,
hater,TRUE,1,,0,
hayseed,TRUE,NA,,0,
heartless,TRUE,1,,1,
heathen,TRUE,1,,1,
heavy-handed,TRUE,1,,0,
heckle,TRUE,f,,0,
heeb,TRUE,NA,,1,
heretical,TRUE,1,,0,
hick,TRUE,1,,1,
hillbilly,TRUE,1,,1,
hoax,TRUE,f,,0,
hoe,TRUE,1,,1,
honky,TRUE,f,,0,
hopeless,TRUE,1,,0,
horrendous,TRUE,1,,0,
horrid,TRUE,1,,0,
huckster,TRUE,NA,,0,
humiliate,TRUE,f,,0,
humping,TRUE,f,,0,
hurt,TRUE,f,,0,
hustler,TRUE,f,,0,
hypocrite,TRUE,1,,0,
idiocy,TRUE,1,,0,
idiot,TRUE,1,,1,
ignorant,TRUE,1,,0,
ikey,TRUE,NA,,1,
imbecile,TRUE,1,,1,
immoral,TRUE,1,,0,
immorality,TRUE,1,,0,
imperious,TRUE,NA,,0,
impertinent,TRUE,f,,0,
impiety,TRUE,NA,,0,
incompetence,TRUE,1,,0,
inconsiderate,TRUE,1,,0,
incorrigible,TRUE,NA,,0,
ineptitude,TRUE,1,,0,
infidel,TRUE,1,,0,
infiltrator,TRUE,f,,0,
ingrate,TRUE,1,,0,
inhospitality,TRUE,f,,0,
inhumanity,TRUE,f,,0,
injun,TRUE,NA,,0,"dated: ""indian"""
insane,TRUE,1,,0,
insanity,TRUE,f,,0,
insincerity,TRUE,f,,0,
insubordinate,TRUE,f,,0,
insufferable,TRUE,1,,1,
insult,TRUE,f,,0,
insulting,TRUE,1,,0,
intimidate,TRUE,f,,0,
intimidation,TRUE,f,,0,
intrude,TRUE,f,,0,
invective,TRUE,NA,,0,literally abusive language
invidious,TRUE,NA,,0,
irritant,TRUE,1,,0,
ivory,TRUE,f,,0,
jagoff,TRUE,NA,,1,
jealous,TRUE,f,,0,
jeer,TRUE,f,,0,
jerk,TRUE,1,,0,
jigaboo,TRUE,1,,2,
kick,TRUE,f,,0,
kike,TRUE,1,,2,
kill,TRUE,f,,0,
killer,TRUE,f,,0,
kook,TRUE,f,,0,
kooky,TRUE,1,,0,
kraut,TRUE,f,,0,
kyke,TRUE,NA,,2,
lackadaisical,TRUE,1,,0,
latrino,TRUE,NA,,NA,
lecher,TRUE,1,,0,
lechery,TRUE,f,,0,
leer,TRUE,f,,0,
lesbo,TRUE,1,,1,
lewd,TRUE,f,,0,
lewdness,TRUE,f,,0,
lezzie,TRUE,1,,1,
licentious,TRUE,NA,,0,
lie,TRUE,f,,0,
loathsome,TRUE,1,,0,
loser,TRUE,1,,1,
lousy,TRUE,1,,0,
lubra,TRUE,NA,,1,
lurid,TRUE,NA,,0,
lurk,TRUE,f,,0,
madman,TRUE,1,,0,
madness,TRUE,f,,0,
maggot,TRUE,1,,1,
maliciousness,TRUE,f,,0,
malign,TRUE,1,,0,
malodorous,TRUE,NA,,0,
manipulative,TRUE,1,,0,
massacre,TRUE,f,,0,
merciless,TRUE,1,,0,
midget,TRUE,1,,0,
miser,TRUE,1,,0,
mockery,TRUE,1,,0,
molest,TRUE,1,,0,
molestation,TRUE,1,,0,
mong,TRUE,NA,,1,
monster,TRUE,1,,1,
mook,TRUE,1,,1,
mope,TRUE,f,,0,
moron,TRUE,1,,1,
motherfucker,TRUE,1,,1,
mudslinging,TRUE,1,,0,
muff,TRUE,f,,0,
mulato,TRUE,f,,0,
murder,TRUE,1,,0,
murder,TRUE,1,dupe,0,
mutt,TRUE,1,,1,
muzzie,TRUE,NA,,1,
nacho,TRUE,f,,0,
nag,TRUE,f,,0,
nagging,TRUE,f,,0,
nastiness,TRUE,f,,0,
nasty,TRUE,1,,1,
nefarious,TRUE,1,,0,
negligence,TRUE,f,,0,
negligent,TRUE,1,,0,
negro,TRUE,1,,1,
nigger,TRUE,1,,2,
niglet,TRUE,1,,2,
nonsense,TRUE,f,,0,
nuisance,TRUE,1,,0,
nutsack,TRUE,1,,1,
obliterate,TRUE,f,,0,
obscene,TRUE,1,,0,
obscenity,TRUE,f,,0,
obsess,TRUE,f,,0,
obsessiveness,TRUE,1,,0,
ocker,TRUE,1,,1,
ofay,TRUE,1,,1,
officious,TRUE,1,,0,
onslaught,TRUE,f,,0,
outrageousness,TRUE,f,,0,
overzealous,TRUE,1,,0,
paki,TRUE,1,,1,
paleface,TRUE,1,,0,
pansy,TRUE,1,,1,
paranoia,TRUE,f,,0,
paranoid,TRUE,1,,0,
peevish,TRUE,1,,0,
penis,TRUE,f,,0,
perfunctory,TRUE,NA,,0,
perish,TRUE,f,,0,
perverse,TRUE,1,,1,
perversion,TRUE,1,,0,
perverted,TRUE,1,,0,
piss,TRUE,f,,0,
plague,TRUE,f,,0,
pogue,TRUE,f,,0,
poisonous,TRUE,1,,1,
polack,TRUE,f,,0,
pommy,TRUE,f,,0,
pompous,TRUE,f,,0,
pout,TRUE,f,,0,
prattle,TRUE,NA,,0,
prejudicial,TRUE,f,,0,
presumptuous,TRUE,1,,0,
pretentious,TRUE,1,,0,
prick,TRUE,1,,1,
profane,TRUE,1,,0,
pry,TRUE,f,,0,
pullock,TRUE,f,,0,
pussy,TRUE,1,,1,
queer,TRUE,1,,1,
raghead,TRUE,1,,1,
rant,TRUE,f,,0,
recalcitrant,TRUE,NA,,0,
recklessness,TRUE,1,,0,
redneck,TRUE,1,,0,
remorseless,TRUE,1,,0,
reprehensible,TRUE,1,,0,
retard,TRUE,1,,1,
revengeful,TRUE,1,,0,
revile,TRUE,f,,0,
ridicule,TRUE,f,,0,
rot,TRUE,1,,0,
rotten,TRUE,1,,1,
roundeye,TRUE,NA,,1,
rude,TRUE,1,,0,
ruffian,TRUE,1,,0,
ruthlessness,TRUE,1,,0,
sanctimonious,TRUE,1,,0,
savage,TRUE,1,,1,
savage,TRUE,1,dupe,1,
scag,TRUE,f,,0,
scandalize,TRUE,f,,0,
scank,TRUE,NA,,1,skank?
scheming,TRUE,1,,0,
schlong,TRUE,f,,0,
schmuck,TRUE,f,,0,
scoundrel,TRUE,1,,0,
scowl,TRUE,f,,0,
scum,TRUE,1,,1,
second-class,TRUE,1,,1,
seedy,TRUE,1,,0,
self-interested,TRUE,1,,0,
servitude,TRUE,f,,0,
shady,TRUE,1,,0,
sham,TRUE,1,,1,
shame,TRUE,f,,0,
shame,TRUE,f,dupe,0,
shamelessness,TRUE,1,,0,
shirk,TRUE,NA,,0,
shirker,TRUE,NA,,0,
shit,TRUE,1,,1,
shitty,TRUE,1,,1,
shyster,TRUE,NA,,0,
silly,TRUE,f,,0,
skanger,TRUE,NA,,1,
sketchy,TRUE,1,,0,
slander,TRUE,f,,0,
slanderous,TRUE,1,,0,
slant,TRUE,NA,,0,
slap,TRUE,f,,0,
slaughter,TRUE,f,,0,
sleazy,TRUE,1,,1,
slothful,TRUE,1,,0,
sluggish,TRUE,1,,0,
slut,TRUE,1,,1,
smug,TRUE,f,,0,
smut,TRUE,f,,0,
sneaky,TRUE,f,,0,
sneer,TRUE,f,,0,
sneer,TRUE,f,dupe,0,
snout,TRUE,f,,0,
snowflake,TRUE,1,,1,
sour,TRUE,NA,,0,
spick,TRUE,1,,2,
spide,TRUE,NA,,1,
spigger,TRUE,NA,,2,
spiteful,TRUE,1,,0,
spitefulness,TRUE,1,,0,
spoil,TRUE,f,,0,
spurn,TRUE,f,,0,
squaw,TRUE,f,,0,
stench,TRUE,1,,0,
stink,TRUE,f,,0,
stink,TRUE,f,dupe,0,
stinking,TRUE,1,,1,
strange,TRUE,1,,0,
strangle,TRUE,f,,0,
stubborn,TRUE,f,,0,
substandard,TRUE,1,,1,
sucker,TRUE,1,,0,
sulk,TRUE,f,,0,
swagger,TRUE,f,,0,
swindle,TRUE,f,,0,
tantrum,TRUE,f,,0,
tart,TRUE,f,,0,
taunt,TRUE,f,,0,
tedious,TRUE,1,,0,
thoughtless,TRUE,1,,0,
throttle,TRUE,f,,0,
torment,TRUE,f,,0,
torment,TRUE,f,dupe,0,
torture,TRUE,f,,0,
torture,TRUE,f,dupe,0,
traitor,TRUE,1,,1,
tramp,TRUE,1,,1,
tranny,TRUE,1,,2,
travesty,TRUE,f,,0,
treasonous,TRUE,1,,0,
twat,TRUE,1,,1,
twink,TRUE,f,,0,
twisted,TRUE,1,,0,
tyrannical,TRUE,1,,0,
ugliness,TRUE,1,,0,
ugly,TRUE,1,,1,
unbearable,TRUE,1,,0,
uneasy,TRUE,f,,0,
unethical,TRUE,1,,0,
unfaithful,TRUE,1,,0,
unfeeling,TRUE,f,,0,
unhealthy,TRUE,f,,0,
unruly,TRUE,1,,0,
unwanted,TRUE,1,,1,
unworthy,TRUE,1,,1,
usurper,TRUE,1,,0,
vengeful,TRUE,f,,0,
viciousness,TRUE,f,,0,
vile,TRUE,1,,1,
violation,TRUE,f,,0,
violent,TRUE,1,,0,
viper,TRUE,f,,0,
vomit,TRUE,f,,0,
vulgar,TRUE,1,,0,
warped,TRUE,f,,0,
waste,TRUE,1,,1,
wastefulness,TRUE,f,,0,
wetback,TRUE,1,,2,
whine,TRUE,f,,0,
whore,TRUE,1,,1,
wigger,TRUE,1,,1,
wolly,TRUE,f,,0,
wop,TRUE,1,,1,
worthless,TRUE,1,,1,
wreck,TRUE,f,,0,
wreck,TRUE,f,dupe,0,
yarpie,TRUE,NA,,0,
yokel,TRUE,NA,,1,
zealot,TRUE,1,,0,
zigabo,TRUE,NA,,2,
